image_id,prediction_string
000000021046,43 190.970 64.538 73 68.582 196.528 80 420.615 249.015 116 223.463 220.425 152 299.291 225.118
000000021088,227 112.280 321.572
000000021240,75 451.476 285.794 196 345.332 284.945 197 67.766 124.169 204 625.838 139.314
000000021972,40 114.353 239.947 87 588.085 157.796 108 260.542 146.793 162 181.512 135.477
000000022087,28 131.273 307.857 62 452.506 118.201 219 434.290 259.194
000000022154,59 174.653 31.611 124 111.977 63.925 164 618.626 41.182 179 359.388 306.373 186 78.039 260.437
000000022628,7 145.969 93.130 29 195.947 214.214 58 79.626 209.966 62 457.233 148.716 120 630.589 81.037
000000024401,170 160.691 108.222 183 594.239 84.745
000000024915,10 548.406 211.276 32 38.034 205.343 76 160.485 49.046 105 593.928 171.158 124 151.017 253.707 170 242.918 195.129 204 525.961 261.683 224 580.870 269.720
000000025103,77 77.280 260.300 90 328.252 57.603 110 188.002 279.557 174 83.592 127.106
000000025273,3 444.058 54.270 14 343.878 302.302 38 291.507 55.907 105 329.224 132.830 182 539.055 90.703 248 484.558 236.423
000000025316,20 405.011 254.674 44 21.033 52.611 56 60.404 252.818 173 385.648 101.700 180 388.616 321.795 234 298.484 124.056 234 184.618 67.754
000000025325,122 331.439 302.793 125 590.771 116.846 145 426.086 278.949 155 151.680 94.711 176 212.057 276.110 230 264.167 105.984
000000025358,27 289.948 273.762 187 563.812 301.927 204 29.137 234.002 210 364.842 59.167 221 228.425 161.927 233 110.628 89.102
000000026035,43 209.883 88.285 48 432.731 211.773 64 187.202 257.186 85 193.127 224.068 122 146.877 240.079 137 325.234 293.927 152 506.207 316.211 184 90.014 66.223 242 374.532 163.793
000000026159,63 349.286 86.409 121 74.450 244.072 124 500.913 83.348 170 184.932 53.849
000000026647,50 329.425 102.859 152 363.658 181.250 159 295.261 213.970 170 525.089 270.787 194 578.490 139.711 205 93.788 311.757
000000027070,33 205.865 87.152 68 188.503 259.544
000000027440,24 594.830 200.887 37 548.836 144.766 65 187.477 280.821 80 300.303 311.834 189 405.954 146.420
000000027569,66 512.828 92.515 237 171.854 150.671
000000027593,30 365.769 250.045 47 189.826 244.111 92 204.375 140.206 197 350.271 161.383 216 122.927 289.777 246 264.191 49.114
000000027977,88 139.070 25.920 109 392.551 300.418 156 284.769 273.539 249 169.436 186.848
000000028019,81 95.698 202.840 102 513.485 150.511 135 33.391 244.806 159 229.243 310.782 212 618.861 117.981 222 286.407 142.407 226 237.663 23.466 248 514.879 28.891
000000028131,7 382.958 101.864 34 494.256 62.462 77 277.698 146.108 77 151.264 38.745 110 51.043 75.145 137 194.931 180.120
000000028288,15 219.192 189.806 126 263.573 272.234 142 479.648 114.652 183 199.964 64.749 227 606.033 167.389
000000028976,63 259.876 145.772 136 359.685 129.229
000000029224,86 486.278 265.922 153 577.640 161.903 175 545.022 76.221 215 101.264 84.831
000000029327,96 229.745 136.561 175 23.463 297.234 188 425.331 304.606
000000030068,19 504.338 49.789 33 44.545 246.042 46 302.770 141.469 68 140.348 44.028 152 172.807 232.865 170 284.899 261.805 190 221.165 130.734 204 500.775 261.249
000000030707,106 524.926 133.400 137 482.687 270.941 152 582.533 151.845 183 228.138 75.844
000000030775,193 264.056 52.633 202 527.062 115.179 228 198.496 128.380
000000031043,70 281.557 175.694 76 486.577 139.805 90 237.378 65.189
000000031073,9 442.077 291.364 86 19.982 303.769 104 93.549 182.250 194 69.106 76.491
000000031282,12 511.701 199.145 14 411.291 247.581 27 566.900 101.947 42 212.502 148.309 120 59.625 142.300 222 435.643 112.987
000000031532,33 216.980 211.115 41 48.836 265.672 60 313.211 58.911 75 150.494 94.796 98 602.667 334.452
000000031699,99 458.826 136.310 161 365.619 194.290 229 46.718 101.325
000000031948,47 220.976 286.396 59 565.605 254.801 76 533.170 42.291 84 357.933 17.429 139 595.702 324.233 165 509.210 182.027 233 62.886 213.587 245 454.968 280.533
000000032206,5 248.085 158.884 164 529.221 110.569 165 115.037 69.263 167 289.729 327.662
000000032522,10 387.112 327.497 54 125.989 264.409 71 281.228 58.445 118 157.274 162.993 122 443.932 134.452 147 575.698 167.310 210 384.101 262.910 211 38.757 208.192
000000032606,3 362.012 119.167 49 221.974 261.635 125 546.839 70.194
000000032665,35 49.170 102.407 109 170.634 105.033 178 604.105 127.717 214 268.927 240.580
000000032757,84 33.289 265.297
000000033405,43 263.412 236.598 114 464.728 261.500 145 522.105 143.920
000000033500,21 67.050 90.157 68 487.012 194.485 75 332.457 239.043 116 120.243 47.639 242 126.343 97.182
000000033633,125 45.974 103.750 158 451.427 122.338 181 423.777 320.741 205 583.753 153.285 234 120.668 121.043
000000033702,3 35.870 116.751 33 562.212 176.618 36 353.043 59.571 52 285.251 291.300 230 393.833 179.203
000000034454,13 315.805 255.925 104 457.228 84.370 139 179.160 105.463 195 576.617 293.693 244 138.554 298.615
000000034702,11 586.116 76.408 18 103.055 69.553 130 290.993 58.593 187 184.733 190.109 197 602.203 224.144 226 38.171 211.348
000000035303,35 407.906 33.843 232 477.814 132.315
000000035407,29 139.332 216.762 82 203.648 297.466 109 137.738 158.742 148 414.260 82.337 202 78.718 219.938
000000036090,45 286.886 109.060 61 165.221 120.082 106 561.185 247.546 128 30.396 36.061 212 235.307 167.153 225 66.974 224.870
000000036273,56 391.253 315.819 170 270.604 311.768 215 92.224 328.552
000000036318,32 384.060 134.278 77 54.911 237.652 128 97.088 173.003 139 306.453 22.531 162 542.560 33.634 180 193.864 264.733
000000036492,10 396.036 220.730 60 615.983 232.937 91 532.737 214.533 163 373.677 37.156
000000036653,6 190.257 328.757 52 186.163 237.289 74 214.700 111.092 98 49.880 145.107 202 126.069 176.422 219 412.515 272.528
000000036693,4 162.994 154.888 65 100.823 286.586 68 444.060 69.281 133 523.021 121.140 161 212.862 223.730 205 391.577 254.713
000000037123,199 574.157 175.278
000000037477,35 360.966 326.619 58 96.849 72.455 62 410.518 177.371 98 140.611 291.670 116 63.281 117.183 201 540.234 171.059 236 167.029 329.818
000000038055,66 513.726 288.912 79 193.798 305.849 105 591.337 192.528 116 44.135 255.341 171 449.603 47.910 181 309.886 183.103 197 389.105 292.074 213 120.690 39.529
000000038630,23 73.535 119.744
000000038919,25 220.902 204.082 95 460.711 246.986 211 563.134 301.741
000000039098,12 124.264 87.779 48 287.858 100.059 86 197.189 218.592 129 619.241 168.231 232 107.331 188.605
000000039643,10 415.779 237.695 73 316.997 273.962 142 227.819 328.213 226 249.189 145.119
000000039743,19 244.283 241.579 57 479.724 294.947 64 562.027 208.922 154 79.315 85.886 215 529.251 123.656 222 502.406 155.994 229 219.916 126.782 231 585.461 134.480
000000039802,2 370.383 299.991 39 370.407 154.389 87 505.442 41.202 91 579.195 291.428 191 227.120 209.703
000000039884,62 506.653 26.280 115 68.972 38.448 115 601.515 88.911 115 553.294 124.036 147 321.650 140.354 154 201.613 24.884 217 371.258 96.171 223 64.888 118.130 230 484.234 89.688 238 177.212 285.514
000000040351,12 62.102 205.884 31 552.886 138.006 123 515.976 28.561 125 194.145 219.050 183 201.135 79.002 212 114.732 82.543
000000040569,30 459.879 210.167 47 357.108 313.277 67 544.183 162.480 87 184.142 242.269 100 242.019 77.892 108 130.437 80.378 115 478.984 88.135 125 237.668 194.114 129 323.494 115.313 193 97.856 323.572
000000040635,27 519.041 100.062 82 577.759 124.165 97 186.699 259.125 174 406.703 272.556 221 332.584 273.250 224 117.143 300.596 225 278.539 331.748
000000040842,14 503.983 264.519 34 80.348 165.231 89 171.386 148.571 113 103.495 254.881 143 315.794 196.850 204 169.533 212.783
000000040874,134 9.556 230.624 154 497.156 288.414 159 264.815 331.911
000000040931,3 413.483 252.064 5 518.641 67.247 140 15.556 119.083 152 466.380 151.613 176 538.836 246.362 187 259.185 30.556 209 205.379 165.820
000000040987,52 576.123 191.156 127 383.056 101.308 146 429.059 295.970 152 250.881 51.423 165 49.813 312.156 185 155.771 180.734 199 72.935 222.525
000000042042,2 577.405 248.645 19 122.978 169.477 45 304.958 209.784 50 346.791 297.712 202 447.150 237.094 209 124.423 316.325 222 477.319 164.838 225 260.270 315.486
000000043227,87 274.580 156.857 110 70.347 47.152 143 533.051 54.717 169 190.937 335.573 177 577.309 327.666 199 315.522 189.042
000000043331,1 174.185 201.647 29 489.870 199.394 61 482.587 240.744 70 264.122 133.294 128 583.888 68.557 213 324.493 96.011 215 385.998 266.276
000000043655,3 315.062 276.815 97 521.445 56.356 133 491.868 79.966 134 120.049 168.477 182 230.136 289.603 192 12.927 186.515 215 205.517 76.557 247 316.216 87.381
000000043683,75 481.588 260.091 115 376.979 250.922 116 103.526 118.546 122 265.078 99.854 163 338.252 310.527 165 424.615 163.928
000000043712,23 382.521 87.065 42 198.984 197.932 91 357.070 128.415 108 402.554 213.056 169 76.321 201.426
000000043776,58 286.903 258.659 64 371.175 159.185 108 128.534 32.315 118 401.844 36.736 238 318.956 318.382
000000043815,33 103.704 63.395 80 133.319 298.971 99 386.185 230.790 130 423.987 231.790 206 558.765 134.519 229 493.519 296.616
000000044061,8 554.717 282.192 80 356.082 283.846 159 40.668 188.724 163 540.171 80.095 173 295.894 114.025 195 342.111 140.775
000000044140,49 584.152 59.314 85 195.439 103.273 244 575.029 202.500
000000044266,65 379.221 84.194 87 267.593 164.346 89 459.757 281.719 164 146.520 186.297 173 546.641 84.281
000000044353,58 422.794 185.649 81 151.180 51.351 154 166.254 270.101 175 200.832 245.660 187 485.467 133.575
000000044360,59 430.317 42.141 66 278.496 163.298 151 295.471 86.577 158 68.056 151.809 201 355.387 149.330 237 214.055 298.059
000000044575,51 221.189 91.439 66 362.360 124.651 157 209.114 261.935 186 564.387 68.180 208 102.113 325.024
000000044954,20 605.689 24.467 65 117.588 161.526 85 105.766 45.929
000000045016,30 447.760 254.943 33 139.369 153.703 53 254.515 260.534 112 506.371 239.683 204 524.226 158.736 207 244.404 70.254 216 128.179 243.450 226 600.337 98.649
000000045040,9 109.283 281.605 66 240.974 149.943 86 395.166 111.944 87 285.343 53.503 132 67.054 81.120 184 195.786 165.431 200 592.615 263.209
000000045193,151 311.366 206.607 169 157.123 285.340 184 575.368 175.732 205 439.743 47.864 237 560.876 275.043
000000045337,25 446.309 314.232 97 533.013 147.751
000000045387,48 506.912 136.006 102 301.525 140.842 110 417.090 249.597 200 63.875 270.528 239 247.099 304.153
000000045633,80 511.317 271.611 187 310.180 65.130 217 68.381 37.700 240 339.490 256.722
000000045775,2 598.322 65.128 43 392.851 64.095 68 434.882 183.649 86 329.001 67.308 198 519.107 226.363 246 598.726 218.848
000000046263,42 233.244 236.282 49 115.269 145.400 62 158.029 208.047 99 149.515 61.729 156 91.067 54.129 203 292.219 346.582
000000046506,16 375.342 152.869 51 428.786 194.644 128 219.716 254.540 133 132.557 276.308 162 186.158 312.606 224 532.438 262.752 238 154.020 83.952
000000046603,6 583.561 76.331 134 263.932 199.630
000000046736,5 35.948 226.382 10 246.620 148.379 36 569.843 141.560 58 553.533 323.778 67 477.661 300.073 159 109.659 122.514
000000046775,71 339.184 66.596 128 571.466 151.393 138 426.674 248.145 149 606.285 314.028 151 519.530 274.008 175 584.833 48.447 195 324.733 183.211 195 59.710 216.674
000000046859,42 378.503 210.216 109 358.244 27.301 210 436.377 77.868 245 375.052 143.466
000000047181,73 262.562 230.423 77 97.615 104.381 131 309.702 113.036 174 495.628 231.188
000000047511,17 184.089 104.883 40 391.482 174.013 45 241.016 229.698 56 337.993 99.441 164 591.617 315.737
000000047599,34 237.571 176.640 99 397.537 256.126 185 177.451 227.994 241 409.318 66.074
000000048066,2 229.913 214.681 27 22.840 317.073 32 442.414 273.099 126 76.317 97.227 183 403.156 323.262 232 417.475 60.554 240 259.685 152.127
000000048791,11 443.394 60.644 13 75.516 77.267 44 300.084 39.333 49 261.195 232.155 62 101.682 77.735 126 538.792 19.302 136 486.251 322.503 137 413.976 247.315 155 143.916 132.928
000000049080,1 239.785 244.499 55 23.338 188.149 101 481.548 251.597 217 139.091 190.559 217 185.685 150.582
000000049165,0 196.448 27.406 15 191.322 317.226 44 115.893 160.866 49 490.218 52.846 183 361.136 169.952 204 537.647 102.970 213 536.611 20.125 248 345.169 316.158
000000049603,28 52.678 316.958 181 140.060 257.852 244 303.957 245.831
000000050294,52 557.306 47.492 54 597.117 266.698 98 413.964 339.117 178 227.472 227.185 226 81.933 107.368
000000050992,34 491.478 260.609 46 202.328 115.185 107 222.850 262.355 112 418.269 172.778 144 478.854 146.961 175 155.278 129.245
000000051272,3 522.818 275.857 28 250.574 260.058 76 101.909 75.825 91 309.445 251.646 129 546.985 108.423 241 33.630 133.782
000000051376,30 614.498 339.424
000000051642,8 325.130 241.286 23 96.823 76.117 103 215.965 306.408 159 101.885 18.248 212 145.500 208.747
000000052036,34 295.479 141.431 150 57.327 110.355 157 63.796 165.898 176 128.076 107.626 177 588.133 243.465 185 118.821 283.699 211 269.807 55.897
000000052305,66 224.863 33.631 101 340.078 272.524 124 200.846 157.168 206 131.503 251.405
000000053632,48 599.049 233.386 48 435.328 271.986 93 125.755 225.253 120 267.789 102.808 216 432.859 207.351
000000053900,36 355.638 25.803 37 145.537 230.623 46 215.581 277.202 55 28.390 172.246 111 217.092 298.226 174 469.474 233.109 181 606.675 228.979 219 532.040 159.045
000000054007,45 541.456 29.519 241 147.519 45.003
000000054949,16 582.667 109.640 20 132.647 264.247 35 84.357 232.452 68 474.993 243.721 99 480.322 79.325 157 431.708 246.765 190 199.123 253.772 220 191.046 134.457
000000054974,22 342.197 263.523 101 551.767 195.774 187 75.190 186.906
000000055514,58 484.554 288.163 94 275.212 210.820 174 565.372 78.135
000000055768,151 291.625 125.493 196 182.593 91.455 210 463.292 277.106
000000055886,48 459.594 209.132 54 446.463 271.703 117 409.894 79.728 164 454.676 157.262 183 537.809 259.529
000000056158,10 436.141 42.495 183 352.158 214.523 184 597.889 273.563 203 382.130 283.713 207 377.708 205.065 208 33.273 253.247 220 255.732 162.054
000000056896,5 468.383 91.137 56 415.955 117.420 109 544.632 197.775
000000057088,133 131.074 64.171 158 355.864 306.882 244 411.568 77.307
000000057481,12 114.378 219.292 52 444.349 298.854 106 84.352 137.464 220 183.094 301.866
000000057978,72 517.669 86.376 110 235.245 83.109 115 63.734 158.432 129 150.364 116.183 168 229.254 64.371 233 283.074 313.113
000000058429,32 203.746 121.257 118 224.788 36.591 149 128.450 236.075 174 375.409 116.887 224 485.778 93.389
000000058861,70 185.652 71.794 92 140.659 119.047 211 289.619 91.885
000000059123,43 349.506 67.456 80 335.709 316.791 85 559.398 122.896 93 131.058 76.891 97 377.084 83.115 133 465.900 42.580 146 191.027 236.133 157 470.463 130.803 190 103.050 144.422 236 41.008 80.081
000000059322,8 581.513 61.667 134 206.696 41.351 208 521.793 200.093 223 126.845 168.187
000000059352,8 566.812 249.618 151 58.239 192.977 226 420.521 244.892
000000059610,1 102.865 241.984 74 347.535 312.734 127 482.011 314.005 202 594.689 85.703 240 552.247 236.802
000000059632,57 228.202 121.759 76 339.513 70.385 118 302.978 71.648 164 462.673 244.211 225 57.160 87.590 234 389.228 267.734 236 188.156 44.740
000000060171,1 304.751 76.794 32 372.127 281.628 115 450.133 180.549 121 501.471 100.745 237 99.652 289.378
000000060593,106 442.234 296.260 114 349.920 331.177 125 200.008 99.464 169 472.285 76.465
000000060639,5 246.318 264.613 109 544.130 50.308 119 505.975 315.397 158 91.309 147.618 225 589.427 289.593 226 114.922 259.063
000000061052,24 353.790 188.072 46 530.243 93.522 177 235.963 122.183 232 74.823 251.248 239 97.231 195.364
000000061175,37 486.792 308.955 164 253.973 328.958 210 130.308 86.405
000000061395,31 299.753 231.694 47 582.828 78.049 87 28.344 181.598 195 126.583 134.708 223 351.129 302.953
000000061498,144 264.014 92.080 186 562.801 306.729 186 116.400 33.123 211 508.546 39.453
000000061588,72 341.141 284.216 123 451.929 188.288 181 405.255 135.039
000000062276,106 167.784 309.787 117 439.568 182.252 140 345.137 300.964 197 124.134 62.591 243 331.811 184.689
000000062279,52 329.696 279.325 97 278.543 237.206 103 551.232 211.918 167 210.289 120.491 180 476.215 326.823 190 366.234 118.544 210 599.337 315.821
000000062557,133 305.971 122.301 175 545.351 234.101 196 329.212 194.120
000000062745,10 384.063 109.378 52 479.131 289.595 74 465.958 176.709 87 289.027 232.180 244 330.319 112.796
000000062790,28 122.294 128.314 66 246.422 107.158 79 458.160 50.312 82 474.160 282.794 214 517.365 72.770
000000063231,0 62.995 295.299 39 467.248 327.196 40 488.934 95.341 47 344.459 16.391 111 147.302 149.739 124 374.036 280.723 153 281.088 168.058 154 564.412 151.025
000000063345,36 81.990 123.290 70 231.773 78.201 230 255.295 239.163 240 347.629 150.109 249 459.008 87.054
000000063355,0 416.604 48.863 4 220.185 185.868 24 79.996 42.652 31 59.992 315.940 63 473.422 259.636 232 535.240 147.423 242 469.571 123.206
000000063473,111 407.491 221.926 128 248.161 163.468 169 519.464 158.380 202 179.149 322.681 225 80.395 294.860
000000063791,49 453.928 192.949 58 374.908 237.024 67 160.240 174.550 88 532.635 31.671 155 462.937 251.136 159 522.311 276.655
000000064001,22 474.585 271.515 31 378.542 138.247 64 452.190 162.348 181 562.553 254.033 237 510.890 97.140
000000064356,24 104.960 337.442 40 557.635 211.003 222 246.212 122.652
000000064409,44 555.156 279.547 162 475.596 259.986 179 122.962 300.146
